prod_cProd,prod_cEAN,prod_xProd,prod_NCM,prod_CEST,prod_indEscala,prod_CFOP,prod_uCom,prod_qCom,prod_vUnCom,prod_vProd,prod_cEANTrib,prod_uTrib,prod_qTrib,prod_vUnTrib,prod_indTot,prod_vDesc,prod_vFrete,prod_vOutro,prod_NumItem,ICMS_orig,ICMS_CST,ICMS_modBC,ICMS_vBC,ICMS_pICMS,ICMS_vICMS,ICMS_vICMSDeson,ICMS_vFCP,ICMS_pRedBC,ICMS_vBCSTRet,ICMS_pST,ICMS_vICMSSubstituto,PIS_CST,PIS_vBC,PIS_pPIS,PIS_vPIS,COFINS_CST,COFINS_vBC,COFINS_pCOFINS,COFINS_vCOFINS,prod_cBenef,CNPJ,xNome,emit_UF,IE,emit_cMun,xFant,enderEmit,emit_xMun,CRT,uf_dest,chNFe,cUF,cNF,natOp,mod,serie,nNF,dhEmi,tpNF,idDest,cMunFG,cDV,tpAmb,finNFe,indFinal,indPres,procEmi,verProc,vBC,vICMS,vICMSDeson,vFCP,vBCST,vST,vFCPST,vFCPSTRet,vProd,vFrete,vSeg,vDesc,vII,vIPI,vIPIDevol,vPIS,vCOFINS,vOutro,vNF
18338,7898489521207,SABONETE DAVENE LA FRUTA UVA ROXA 1X150GR,34011190,2003400,,1102,UN,36.0,UN,106.92,,,,,,6.06,0,0,009,,020,,62.42,"12,00",7.49,0,0,,0,0.0,0.0,50,0.0,1.65,1.76,50,106.92,7.6,8.13,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703785066000122550010056135141114911021,0,1,00,55,1,5613514,01/07/2024,0,,,,,,,,,,,"74,90",,,,,,,"1069,20","0,00","0,00","60,60",,,,"17,60","81,30","0,00","1008,60"
18800,7898489521214,SABONETE DAVENE LA FRUTA LICHIA 1X150GR,34011190,2003400,,1102,UN,36.0,UN,106.92,,,,,,6.06,0,0,010,,020,,62.42,"12,00",7.49,0,0,,0,0.0,0.0,50,0.0,1.65,1.76,50,106.92,7.6,8.13,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703785066000122550010056135141114911021,0,1,00,55,1,5613514,01/07/2024,0,,,,,,,,,,,"74,90",,,,,,,"1069,20","0,00","0,00","60,60",,,,"17,60","81,30","0,00","1008,60"
13159,7898681270040,01 SACO P/LIXO ALMOFADA 15 LTS 25X1,39232910,1101200,,1102,UN25,3.0,UN25,187.5,,,,,,0.0,0,0,001,,020,,98.68,"19,00",18.75,0,0,,0,0.0,0.0,50,0.0,1.65,3.09,50,187.5,7.6,14.25,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703914596000123550010000032021005418924,0,1,00,55,1,3202,01/07/2024,0,,,,,,,,,,,"307,90",,,,,,,"3079,00","0,00","0,00","0,00",,,,"50,79","234,00","0,00","3079,00"
13160,7898681270057,02 SACO P/LIXO ALMOFADA 30 LTS 25X1,39232910,1101200,,1102,UN25,3.0,UN25,187.5,,,,,,0.0,0,0,002,,020,,98.68,"19,00",18.75,0,0,,0,0.0,0.0,50,0.0,1.65,3.09,50,187.5,7.6,14.25,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703914596000123550010000032021005418924,0,1,00,55,1,3202,01/07/2024,0,,,,,,,,,,,"307,90",,,,,,,"3079,00","0,00","0,00","0,00",,,,"50,79","234,00","0,00","3079,00"
13161,7898681270064,03 SACO P/LIXO ALMOFADA 50 LTS 25X1,39232910,1101200,,1102,UN25,3.0,UN25,187.5,,,,,,0.0,0,0,003,,020,,98.68,"19,00",18.75,0,0,,0,0.0,0.0,50,0.0,1.65,3.09,50,187.5,7.6,14.25,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703914596000123550010000032021005418924,0,1,00,55,1,3202,01/07/2024,0,,,,,,,,,,,"307,90",,,,,,,"3079,00","0,00","0,00","0,00",,,,"50,79","234,00","0,00","3079,00"
13163,7898681270071,04 SACO P/LIXO ALMOFADA 100 LTS 25X1,39232910,1101200,,1102,UN25,3.0,UN25,187.5,,,,,,0.0,0,0,004,,020,,98.68,"19,00",18.75,0,0,,0,0.0,0.0,50,0.0,1.65,3.09,50,187.5,7.6,14.25,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703914596000123550010000032021005418924,0,1,00,55,1,3202,01/07/2024,0,,,,,,,,,,,"307,90",,,,,,,"3079,00","0,00","0,00","0,00",,,,"50,79","234,00","0,00","3079,00"
32227,7898681270279,05 SACO P/ LIXO ALMOFADA 200LTS 25x1,84715010,2103000,,1102,UN25,2.0,UN25,160.0,,,,,,0.0,0,0,005,,020,,84.21,"19,00",16.0,0,0,,0,0.0,0.0,50,0.0,1.65,2.64,50,160.0,7.6,12.16,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703914596000123550010000032021005418924,0,1,00,55,1,3202,01/07/2024,0,,,,,,,,,,,"307,90",,,,,,,"3079,00","0,00","0,00","0,00",,,,"50,79","234,00","0,00","3079,00"
13164,7898718981505,06 SACO P/ LIXO ROLO 15 LTS 15X1,39232910,1101200,,1102,UN15,2.0,UN15,165.0,,,,,,0.0,0,0,006,,020,,86.84,"19,00",16.5,0,0,,0,0.0,0.0,50,0.0,1.65,2.72,50,165.0,7.6,12.54,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703914596000123550010000032021005418924,0,1,00,55,1,3202,01/07/2024,0,,,,,,,,,,,"307,90",,,,,,,"3079,00","0,00","0,00","0,00",,,,"50,79","234,00","0,00","3079,00"
13165,7898681270019,07 SACO P/ LIXO ROLO 30 LTS 15X1,39232910,1101200,,1102,UN15,3.0,UN15,247.5,,,,,,0.0,0,0,007,,020,,130.26,"19,00",24.75,0,0,,0,0.0,0.0,50,0.0,1.65,4.08,50,247.5,7.6,18.81,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703914596000123550010000032021005418924,0,1,00,55,1,3202,01/07/2024,0,,,,,,,,,,,"307,90",,,,,,,"3079,00","0,00","0,00","0,00",,,,"50,79","234,00","0,00","3079,00"
13166,7898681270026,08 SACO P/ LIXO ROLO 50 LTS 15X1,39232910,1101200,,1102,UN15,5.0,UN15,412.5,,,,,,0.0,0,0,008,,020,,217.11,"19,00",41.25,0,0,,0,0.0,0.0,50,0.0,1.65,6.81,50,412.5,7.6,31.35,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703914596000123550010000032021005418924,0,1,00,55,1,3202,01/07/2024,0,,,,,,,,,,,"307,90",,,,,,,"3079,00","0,00","0,00","0,00",,,,"50,79","234,00","0,00","3079,00"
13167,7898681270033,09 SACO P/ LIXO ROLO 100 LTS 15X1,39232910,1101200,,1102,UN15,6.0,UN15,495.0,,,,,,0.0,0,0,009,,020,,260.53,"19,00",49.5,0,0,,0,0.0,0.0,50,0.0,1.65,8.17,50,495.0,7.6,37.62,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703914596000123550010000032021005418924,0,1,00,55,1,3202,01/07/2024,0,,,,,,,,,,,"307,90",,,,,,,"3079,00","0,00","0,00","0,00",,,,"50,79","234,00","0,00","3079,00"
13170,7898681270095,25 SUPER REFORCADO 100LTS (25X1) 6X1,39232910,1101200,,1102,UN6,4.0,UN6,264.0,,,,,,0.0,0,0,010,,020,,138.95,"19,00",26.4,0,0,,0,0.0,0.0,50,0.0,1.65,4.36,50,264.0,7.6,20.06,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703914596000123550010000032021005418924,0,1,00,55,1,3202,01/07/2024,0,,,,,,,,,,,"307,90",,,,,,,"3079,00","0,00","0,00","0,00",,,,"50,79","234,00","0,00","3079,00"
13168,7898681270101,20 LONADO ULTRA REFORCADO 100LTS (5X1) 10X1,39232910,1101200,,1102,UN10,2.0,UN10,160.0,,,,,,0.0,0,0,011,,020,,84.21,"19,00",16.0,0,0,,0,0.0,0.0,50,0.0,1.65,2.64,50,160.0,7.6,12.16,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703914596000123550010000032021005418924,0,1,00,55,1,3202,01/07/2024,0,,,,,,,,,,,"307,90",,,,,,,"3079,00","0,00","0,00","0,00",,,,"50,79","234,00","0,00","3079,00"
13169,7898681270088,21 LONADO ULTRA REFORCADO 200LTS (5X1) 10X1,39232910,1101200,,1102,UN10,5.0,UN10,425.0,,,,,,0.0,0,0,012,,020,,223.68,"19,00",42.5,0,0,,0,0.0,0.0,50,0.0,1.65,7.01,50,425.0,7.6,32.3,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703914596000123550010000032021005418924,0,1,00,55,1,3202,01/07/2024,0,,,,,,,,,,,"307,90",,,,,,,"3079,00","0,00","0,00","0,00",,,,"50,79","234,00","0,00","3079,00"
2417,8000000024176,BANANA MACA EX CX 16.0 kg,08039000,,,1102,KG16,1.0,KG16,150.0,,,,,,0.0,0,0,001,,040,,0.0,"0,00",0.0,0,0,,0,0.0,0.0,50,0.0,1.65,2.48,50,150.0,7.6,11.4,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240717552382000169550010000466121247591060,0,1,00,55,1,46612,02/07/2024,0,,,,,,,,,,,"0,00",,,,,,,"255,00","0,00","0,00","0,00",,,,"4,21","19,38","0,00","255,00"
2414,8000000024145,BANANA PRATA 01 GO CX 15.0 kg,08031000,,,1102,KG15,3.0,KG15,105.0,,,,,,0.0,0,0,002,,040,,0.0,"0,00",0.0,0,0,,0,0.0,0.0,50,0.0,1.65,1.73,50,105.0,7.6,7.98,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240717552382000169550010000466121247591060,0,1,00,55,1,46612,02/07/2024,0,,,,,,,,,,,"0,00",,,,,,,"255,00","0,00","0,00","0,00",,,,"4,21","19,38","0,00","255,00"
2434,8000000024343,MARACUJA   SC 12 KG,08109000,1701000,,1102,KG12,1.0,KG12,60.0,,,,,,0.0,0,0,001,,040,,0.0,"0,00",0.0,0,0,,0,0.0,0.0,73,0.0,0.0,0.0,73,0.0,0.0,0.0,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240701839813000132550010000401711565792201,0,1,00,55,1,40171,02/07/2024,0,,,,,,,,,,,"0,00",,,,,,,"180,00","0,00","0,00","0,00",,,,,,"0,00","180,00"
2418,8000000024183,MAMAO FORMOSA   KG 1 KG,08072000,,,1102,KG,40.0,KG,120.0,,,,,,0.0,0,0,002,,040,,0.0,"0,00",0.0,0,0,,0,0.0,0.0,73,0.0,0.0,0.0,73,0.0,0.0,0.0,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240701839813000132550010000401711565792201,0,1,00,55,1,40171,02/07/2024,0,,,,,,,,,,,"0,00",,,,,,,"180,00","0,00","0,00","0,00",,,,,,"0,00","180,00"
19545,8000000195456,CEBOLA CX 2 NAC,07031019,,,1102,KG20,5.0,KG20,425.0,,,,,,0.0,0,0,001,,040,,0.0,"0,00",0.0,0,0,,0,0.0,0.0,73,0.0,0.0,0.0,73,0.0,0.0,0.0,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240726884254000103550020000348171008016220,0,1,00,55,2,34817,02/07/2024,0,,,,,,,,,,,"123,20",,,,,,,"2660,00","0,00","0,00","93,34",,,,,,"0,00","2566,66"
19545,8000000195456,CEBOLA CX 3 NAC,07031019,,,1102,KG20,3.0,KG20,270.0,,,,,,0.0,0,0,002,,040,,0.0,"0,00",0.0,0,0,,0,0.0,0.0,73,0.0,0.0,0.0,73,0.0,0.0,0.0,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240726884254000103550020000348171008016220,0,1,00,55,2,34817,02/07/2024,0,,,,,,,,,,,"123,20",,,,,,,"2660,00","0,00","0,00","93,34",,,,,,"0,00","2566,66"
19545,8000000195456,CEBOLA CX 4 NAC,07031019,,,1102,KG20,1.0,KG20,95.0,,,,,,0.0,0,0,003,,040,,0.0,"0,00",0.0,0,0,,0,0.0,0.0,73,0.0,0.0,0.0,73,0.0,0.0,0.0,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240726884254000103550020000348171008016220,0,1,00,55,2,34817,02/07/2024,0,,,,,,,,,,,"123,20",,,,,,,"2660,00","0,00","0,00","93,34",,,,,,"0,00","2566,66"
2409,8000000024091,ALHO ROXO N 06 NAC,07032090,,,1102,CX10,4.0,CX10,1120.0,,,,,,93.34,0,0,004,,020,,1026.66,"12,00",123.2,0,0,,0,0.0,0.0,73,0.0,0.0,0.0,73,0.0,0.0,0.0,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240726884254000103550020000348171008016220,0,1,00,55,2,34817,02/07/2024,0,,,,,,,,,,,"123,20",,,,,,,"2660,00","0,00","0,00","93,34",,,,,,"0,00","2566,66"
2412,8000000024121,BATATA ESPECIAL,07019000,1708800,,1102,KG25,5.0,KG25,750.0,,,,,,0.0,0,0,005,,040,,0.0,"0,00",0.0,0,0,,0,0.0,0.0,73,0.0,0.0,0.0,73,0.0,0.0,0.0,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240726884254000103550020000348171008016220,0,1,00,55,2,34817,02/07/2024,0,,,,,,,,,,,"123,20",,,,,,,"2660,00","0,00","0,00","93,34",,,,,,"0,00","2566,66"
2626,7898949097020,ALHO DESCASCADO AS UN 0.5 kg,07032090,,,1102,UN,10.0,UN,125.0,,,,,,0.0,0,0,001,,020,,104.16,"12,00",12.5,0,0,,0,0.0,0.0,73,0.0,0.0,0.0,73,0.0,0.0,0.0,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240750114587000138550010000016481528830664,0,1,00,55,1,1648,02/07/2024,0,,,,,,,,,,,"57,50",,,,,,,"575,00","0,00","0,00","0,00",,,,,,"0,00","575,00"
7466,,ALHO N-4 CX 10.0 kg,07032090,,,1102,KG10,2.0,KG10,450.0,,,,,,0.0,0,0,002,,020,,374.99,"12,00",45.0,0,0,,0,0.0,0.0,73,0.0,0.0,0.0,73,0.0,0.0,0.0,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240750114587000138550010000016481528830664,0,1,00,55,1,1648,02/07/2024,0,,,,,,,,,,,"57,50",,,,,,,"575,00","0,00","0,00","0,00",,,,,,"0,00","575,00"
2432,8000000024329,LIMAO   SC 20 KG,08053000,,,1102,KG20,3.0,KG20,150.0,,,,,,0.0,0,0,001,,040,,0.0,"0,00",0.0,0,0,,0,0.0,0.0,99,0.0,0.0,0.0,99,0.0,0.0,0.0,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240726922302000100550010001166261015144113,0,1,00,55,1,116626,02/07/2024,0,,,,,,,,,,,"0,00",,,,,,,"550,00","0,00","0,00","0,00",,,,,,"0,00","550,00"
2441,8000000024411,LARANJA   SC 16 KG,08051000,,,1102,KG16,8.0,KG16,400.0,,,,,,0.0,0,0,002,,040,,0.0,"0,00",0.0,0,0,,0,0.0,0.0,73,0.0,0.0,0.0,73,0.0,0.0,0.0,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240726922302000100550010001166261015144113,0,1,00,55,1,116626,02/07/2024,0,,,,,,,,,,,"0,00",,,,,,,"550,00","0,00","0,00","0,00",,,,,,"0,00","550,00"
2435,8000000024350,MACA NAC FUJI PASSION CAT I T150,08081000,,,1102,KG18,3.0,KG18,540.0,,,,,,0.0,0,0,001,,040,,0.0,"0,00",0.0,0,0,,0,0.0,0.0,73,0.0,0.0,0.0,73,0.0,0.0,0.0,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240714456704001583550010001669901993739227,0,1,00,55,1,166990,02/07/2024,0,,,,,,,,,,,"0,00",,,,,,,"978,00","0,00","0,00","0,00",,,,,,"0,00","978,00"
2420,8000000024206,MORANGO DF 4X1,08101000,,,1102,UN4,3.0,UN4,78.0,,,,,,0.0,0,0,002,,040,,0.0,"0,00",0.0,0,0,,0,0.0,0.0,73,0.0,0.0,0.0,73,0.0,0.0,0.0,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240714456704001583550010001669901993739227,0,1,00,55,1,166990,02/07/2024,0,,,,,,,,,,,"0,00",,,,,,,"978,00","0,00","0,00","0,00",,,,,,"0,00","978,00"
2433,8000000024336,MELAO AMARELO REI T7 10KG,08071900,,,1102,KG10,2.0,KG10,220.0,,,,,,0.0,0,0,003,,040,,0.0,"0,00",0.0,0,0,,0,0.0,0.0,73,0.0,0.0,0.0,73,0.0,0.0,0.0,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240714456704001583550010001669901993739227,0,1,00,55,1,166990,02/07/2024,0,,,,,,,,,,,"0,00",,,,,,,"978,00","0,00","0,00","0,00",,,,,,"0,00","978,00"
